accession	protein_name	gene_names	reviewed	length	go	subcellular_location	keywords	ec
A0A0H3GGB5	Transcriptional regulatory protein CpxR (Response regulator CpxR)	cpxR KPHS_00720	reviewed	232	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]; cell adhesion [GO:0007155]; regulation of DNA-templated transcription [GO:0006355]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:22496764}.	Activator;Cell adhesion;Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Stress response;Transcription;Transcription regulation;Two-component regulatory system	
A0A0H3GQ65	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	katG KPHS_27750	unreviewed	725	cytosol [GO:0005829]; catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]		Heme;Hydrogen peroxide;Iron;Metal-binding;Oxidoreductase;Peroxidase;Reference proteome	1.11.1.21
A0A0H3GID9	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC KPHS_08670	unreviewed	284	cytosol [GO:0005829]; ATP binding [GO:0005524]; pantoate-beta-alanine ligase activity [GO:0004592]; pantothenate biosynthetic process [GO:0015940]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00158}.	ATP-binding;Cytoplasm;Ligase;Nucleotide-binding;Pantothenate biosynthesis;Reference proteome	6.3.2.1
A0A0H3GJV5	Na(+)-translocating NADH-quinone reductase subunit F (Na(+)-NQR subunit F) (Na(+)-translocating NQR subunit F) (EC 7.2.1.1) (NQR complex subunit F) (NQR-1 subunit F)	nqrF KPHS_09700	unreviewed	407	plasma membrane [GO:0005886]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; sodium ion transport [GO:0006814]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00430}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00430}.	2Fe-2S;Cell inner membrane;Cell membrane;FAD;Flavoprotein;Ion transport;Iron;Iron-sulfur;Membrane;Metal-binding;NAD;Reference proteome;Sodium;Sodium transport;Translocase;Transmembrane;Transmembrane helix;Transport;Ubiquinone	7.2.1.1
A0A0H3GQI0	Elongation factor P--(R)-beta-lysine ligase (EF-P--(R)-beta-lysine ligase) (EC 6.3.2.-) (EF-P post-translational modification enzyme A) (EF-P-lysine lysyltransferase)	epmA KPHS_04010	unreviewed	325	cytosol [GO:0005829]; acid-ammonia (or amide) ligase activity [GO:0016880]; ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; tRNA binding [GO:0000049]; lysyl-tRNA aminoacylation [GO:0006430]		ATP-binding;Ligase;Nucleotide-binding;Reference proteome	6.3.2.-
A0A0H3H4V7	Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)	yidC KPHS_52810	unreviewed	531	plasma membrane [GO:0005886]; membrane insertase activity [GO:0032977]; protein insertion into membrane [GO:0051205]; protein transport [GO:0015031]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|HAMAP-Rule:MF_01810}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|HAMAP-Rule:MF_01810}.	Cell inner membrane;Cell membrane;Chaperone;Membrane;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GI12	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA KPHS_07320	unreviewed	166	plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]; proteolysis [GO:0006508]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00161}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00161}.	Aspartyl protease;Cell inner membrane;Cell membrane;Hydrolase;Lipoprotein;Membrane;Protease;Reference proteome;Transmembrane;Transmembrane helix	3.4.23.36
A0A0H3GNI7	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]	glnD KPHS_09140	unreviewed	867	[protein-PII] uridylyltransferase activity [GO:0008773]; guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity [GO:0008893]; phosphoric diester hydrolase activity [GO:0008081]; regulation of nitrogen utilization [GO:0006808]		Hydrolase;Magnesium;Multifunctional enzyme;Nucleotidyltransferase;Reference proteome;Repeat;Transferase	2.7.7.59; 3.1.4.-
A0A0H3H4Y3	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	atpF KPHS_53110	unreviewed	156	endomembrane system [GO:0012505]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01398}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01398}. Endomembrane system {ECO:0000256|ARBA:ARBA00037847}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00037847}.	ATP synthesis;Cell inner membrane;Cell membrane;CF(0);Coiled coil;Hydrogen ion transport;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GJ01	Riboflavin biosynthesis protein [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]	KPHS_07300	unreviewed	295	ATP binding [GO:0005524]; FMN adenylyltransferase activity [GO:0003919]; riboflavin kinase activity [GO:0008531]; FAD biosynthetic process [GO:0006747]; FMN biosynthetic process [GO:0009398]; riboflavin biosynthetic process [GO:0009231]		ATP-binding;FAD;Flavoprotein;FMN;Kinase;Multifunctional enzyme;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase	2.7.1.26; 2.7.7.2
A0A0H3GV14	Mlc titration factor A (Probable zinc metallopeptidase MtfA) (EC 3.4.11.-)	mtfA KPHS_34540	unreviewed	266	cytosol [GO:0005829]; aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01593}.	Aminopeptidase;Cytoplasm;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc	3.4.11.-
A0A0H3GJ29	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH KPHS_11070	unreviewed	156	cytosol [GO:0005829]; riboflavin synthase complex [GO:0009349]; 6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]; riboflavin biosynthetic process [GO:0009231]		Reference proteome;Riboflavin biosynthesis;Transferase	2.5.1.78
A0A0H3GTV9	Bifunctional chorismate mutase/prephenate dehydratase (EC 4.2.1.51) (EC 5.4.99.5) (Chorismate mutase-prephenate dehydratase) (p-protein)	KPHS_39900	unreviewed	386	cytoplasm [GO:0005737]; chorismate mutase activity [GO:0004106]; prephenate dehydratase activity [GO:0004664]; chorismate metabolic process [GO:0046417]; L-phenylalanine biosynthetic process [GO:0009094]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Cytoplasm;Isomerase;Lyase;Multifunctional enzyme;Phenylalanine biosynthesis;Reference proteome	4.2.1.51; 5.4.99.5
