accession	category	label	seq_hit	pident	tm_score	struct_hit	is_mimic	esm2_cos	essential	amr_associated
A0A0H3GRW3	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9872	True	False
A0A0H3GUD6	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9641	True	False
A0A0H3GIJ9	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8089	True	False
A0A0H3GQY3	D*	High-confidence StruSel candidate	False		0.0	False	False	0.7524	True	False
A0A0H3H4V7	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8996	True	False
A0A0H3GRI2	D*	High-confidence StruSel candidate	False		0.0	False	False	0.985	True	False
A0A0H3GSD2	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9668	True	False
A0A0H3GH10	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8822	True	False
A0A0H3GR62	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9751	True	False
A0A0H3GRD3	D*	High-confidence StruSel candidate	False		0.0	False	False	0.962	True	False
A0A0H3GS62	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8403	True	False
A0A0H3GJV5	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9515	True	False
A0A0H3GNH2	D*	High-confidence StruSel candidate	False		0.0	False	False	0.779	True	False
A0A0H3GM21	D*	High-confidence StruSel candidate	False		0.0	False	False	0.856	True	False
A0A0H3GHK7	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8474	True	False
A0A0H3GQ65	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9836	True	False
A0A0H3GR48	D*	High-confidence StruSel candidate	False		0.0	False	False	0.976	True	False
A0A0H3GTB6	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8756	True	False
A0A0H3GKD2	D*	High-confidence StruSel candidate	False		0.0	False	False	0.885	True	False
A0A0H3GRR4	D*	High-confidence StruSel candidate	False		0.0	False	False	0.971	True	False
A0A0H3GIY0	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9188	True	False
A0A0H3GHA7	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8062	True	False
A0A0H3GJ01	D*	High-confidence StruSel candidate	False		0.0	False	False	0.7749	True	False
A0A0H3GUR4	D*	High-confidence StruSel candidate	False		0.0	False	False	0.7848	True	False
A0A0H3GHF5	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8152	True	False
A0A0H3GJP9	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9064	True	False
A0A0H3H3P3	D*	High-confidence StruSel candidate	False		0.0	False	False	0.917	True	False
