accession	category	label	seq_hit	pident	tm_score	struct_hit	is_mimic	esm2_cos	essential	amr_associated
A0A0H3GJ91	C2	Partial structural mimic	False		0.4886	True	True	0.8505	True	False
A0A0H3GSK4	C	Structural mimic	False		0.842	True	False	0.9796	True	False
A0A0H3GLT4	C	Structural mimic	False		0.587	True	False	0.9808	True	False
A0A0H3GLT2	C	Structural mimic	False		0.6708	True	False	0.9599	True	False
A0A0H3GV68	C	Structural mimic	False		0.9218	True	False	0.9267	True	False
A0A0H3GMI6	C	Structural mimic	False		0.5943	True	False	0.9772	True	False
A0A0H3GMW9	C	Structural mimic	False		0.521	True	False	0.9729	True	False
A0A0H3GL61	C2	Partial structural mimic	False		0.461	True	True	0.9688	True	False
A0A0H3GUI6	C	Structural mimic	False		0.7849	True	False	0.95	True	False
A0A0H3GQZ5	C2	Partial structural mimic	False		0.4972	True	True	0.9684	True	False
A0A0H3GPM5	C	Structural mimic	False		0.7446	True	False	0.968	True	False
A0A0H3GQT6	C	Structural mimic	False		0.6459	True	False	0.9234	True	False
A0A0H3GPU3	C	Structural mimic	False		0.614	True	False	0.9367	True	False
A0A0H3GRX8	C	Structural mimic	False		0.6113	True	False	0.9422	True	False
A0A0H3GRU8	C	Structural mimic	False		0.8283	True	False	0.9467	True	False
A0A0H3GWE1	C	Structural mimic	False		0.6342	True	False	0.9715	True	False
A0A0H3GRN0	C	Structural mimic	False		0.5555	True	False	0.9711	True	False
A0A0H3H016	C2	Partial structural mimic	False		0.4884	True	True	0.8512	True	False
A0A0H3GID0	C	Structural mimic	False		0.7758	True	False	0.9689	True	False
A0A0H3GXV3	C	Structural mimic	False		0.5857	True	False	0.9487	True	False
A0A0H3GQD7	C	Structural mimic	False		0.5129	True	False	0.9713	True	False
A0A0H3GTR1	C	Structural mimic	False		0.8302	True	False	0.943	True	False
A0A0H3GG62	C	Structural mimic	False		0.584	True	False	0.9359	True	False
A0A0H3GY20	C	Structural mimic	False		0.7898	True	False	0.9771	True	False
A0A0H3GR22	C	Structural mimic	False		0.7089	True	False	0.9705	True	False
A0A0H3GJV8	C	Structural mimic	False		0.5358	True	False	0.9818	True	False
A0A0H3GYK3	C2	Partial structural mimic	False		0.4209	True	True	0.9181	True	False
A0A0H3GXS5	C	Structural mimic	False		0.7474	True	False	0.9671	True	False
A0A0H3GM01	C	Structural mimic	False		0.7094	True	False	0.9262	True	False
A0A0H3GUG4	C	Structural mimic	False		0.7861	True	False	0.9747	True	False
A0A0H3GQP2	C	Structural mimic	False		0.6087	True	False	0.9809	True	False
A0A0H3GR93	C	Structural mimic	False		0.8253	True	False	0.9464	True	False
A0A0H3GJA6	C	Structural mimic	False		0.9201	True	False	0.9744	True	False
A0A0H3GJB4	C2	Partial structural mimic	False		0.4156	True	True	0.9446	True	False
A0A0H3GMC6	C	Structural mimic	False		0.8179	True	False	0.9723	True	False
A0A0H3GSW1	C	Structural mimic	False		0.764	True	False	0.9833	True	False
