accession	category	label	seq_hit	pident	tm_score	struct_hit	is_mimic	esm2_cos	essential	amr_associated
A0A0H3GWS1	A	Homolog	True	61.1	0.95	True	False	0.9817	True	False
A0A0H3GJ91	C2	Partial structural mimic	False		0.4886	True	True	0.8505	True	False
A0A0H3GSK4	C	Structural mimic	False		0.842	True	False	0.9796	True	False
A0A0H3GVH1	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9327	False	False
A0A0H3GXN8	A	Homolog	True	33.1	0.8753	True	False	0.979	True	False
A0A0H3GRW3	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9872	True	False
A0A0H3GPQ0	C	Structural mimic	False		0.6947	True	False	0.9784	False	False
A0A0H3GUD6	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9641	True	False
A0A0H3GLT4	C	Structural mimic	False		0.587	True	False	0.9808	True	False
A0A0H3GX74	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9069	False	False
A0A0H3GP86	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9548	False	False
A0A0H3GY04	A	Homolog	True	39.1	0.7999	True	False	0.972	True	False
A0A0H3GMA4	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9697	False	False
A0A0H3GT70	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9297	False	False
A0A0H3GIJ9	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8089	True	False
A0A0H3GQY3	D*	High-confidence StruSel candidate	False		0.0	False	False	0.7524	True	False
A0A0H3GSI0	C	Structural mimic	False		0.6962	True	False	0.959	False	False
A0A0H3H4V7	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8996	True	False
A0A0H3GTP4	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9653	False	False
A0A0H3GVG7	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9366	False	False
A0A0H3GXU4	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9909	False	False
A0A0H3GRI2	D*	High-confidence StruSel candidate	False		0.0	False	False	0.985	True	False
A0A0H3GLT2	C	Structural mimic	False		0.6708	True	False	0.9599	True	False
A0A0H3GSM1	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8837	False	False
A0A0H3GNQ3	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9771	False	False
A0A0H3GSD2	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9668	True	False
A0A0H3GYT1	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8777	False	False
A0A0H3GJQ0	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9332	False	False
A0A0H3H1L1	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9837	False	False
A0A0H3GH10	D*	High-confidence StruSel candidate	False		0.0	False	False	0.8822	True	False
A0A0H3GR62	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9751	True	False
A0A0H3GRD3	D*	High-confidence StruSel candidate	False		0.0	False	False	0.962	True	False
A0A0H3GV68	C	Structural mimic	False		0.9218	True	False	0.9267	True	False
A0A0H3GTD7	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9819	False	False
A0A0H3H0U6	D*	High-confidence StruSel candidate	False		0.0	False	False	0.9507	False	False
